"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Count
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2000"	"2000"	579
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2001"	"2001"	627
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2002"	"2002"	623
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2003"	"2003"	631
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2004"	"2004"	734
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2005"	"2005"	920
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2006"	"2006"	905
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2007"	"2007"	966
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2008"	"2008"	1064
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2009"	"2009"	1152
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2010"	"2010"	1121
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2011"	"2011"	1079
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"1999"	"1999"	51
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2000"	"2000"	56
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2001"	"2001"	71
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2002"	"2002"	70
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2003"	"2003"	85
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2004"	"2004"	73
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2005"	"2005"	52
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2006"	"2006"	55
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2007"	"2007"	60
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2008"	"2008"	74
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2009"	"2009"	72
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2010"	"2010"	91
	"Melanoma of the Skin"	"25010"	"Alaska"	"02"	"2011"	"2011"	75
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"1999"	"1999"	914
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2000"	"2000"	889
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2001"	"2001"	1035
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2002"	"2002"	1056
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2003"	"2003"	1153
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2004"	"2004"	953
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2005"	"2005"	874
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2006"	"2006"	989
